model_id,model_name,priority,research_question,outcome_vars,main_exposures,controls,fe_spec,se_spec,timing_spec,sample_rule,diagnostics,robustness_axes,output_files,script_path
M05E,SPDM W Robustness,high,RQ2 robustness,vitality_sub_economic;vitality_sub_social;vitality_sub_temporal;vitality_sub_stability;vitality_index_base,age60_resident_share plus W age60_resident_share,main SPDM control subset plus W selected controls,true SDM with spatial lagged dependent variable and manual WX terms plus adm_cd and yq structure,model-based asymptotic spatial-panel SE with simulation-based impact SE where impacts are reported,contemporaneous quarterly contract,same quarterly sample rerun across queen rook knn6 knn8,W-specific matrix impacts and diagnostics with WX trace,W choice;manual WX construction,spdm_w_robustness_models.csv;spdm_w_robustness_impacts.csv;spdm_w_robustness_controls_used.csv;spdm_w_robustness_diagnostics.csv,02_Code/04_robustness/01_run_spdm_w_robustness.R
M05F,SPDM Selection,low,RQ2 appendix,vitality_sub_economic;vitality_sub_social;vitality_sub_temporal;vitality_sub_stability;vitality_index_base,age60_resident_share,main SPDM control subset,common quarterly queen sample across spatial families,model-based asymptotic spatial-panel SE with simulation-based impact SE where impacts are reported,contemporaneous quarterly contract,manual appendix common-sample selection diagnostics,LM/Hausman-style selection tests plus family comparison,selection diagnostics and family choice,spdm_selection_tests.csv;spdm_selection_family_comparison.csv,02_Code/80_optional/spdm/04_run_spdm_selection_sidecar.R
M05G,SPDM Family Comparison,low,RQ2 appendix,vitality_sub_economic;vitality_sub_social;vitality_sub_temporal;vitality_sub_stability;vitality_index_base,age60_resident_share,main SPDM control subset,common quarterly sample across TWFE SLX SAR SDM SEM SDEM SARAR-SAC GNS families,model-based asymptotic spatial-panel SE where spatial panel models are used; clustered adm_cd SE for SLX; simulation or delta-method impact SE where impacts are reported,contemporaneous quarterly contract,appendix common sample only,family comparison diagnostics,family choice and specification sensitivity including WX-only SLX and SDEM effects plus GNS/SAC-Durbin,spdm_family_models.csv;spdm_family_comparison.csv,02_Code/80_optional/spdm/05_run_spdm_family_comparison_sidecar.R
M06,Robustness,high,RQ1 and RQ2 robustness,vitality_sub_economic;vitality_sub_social;vitality_sub_temporal;vitality_sub_stability;vitality_index_base;vitality_index_entropy;vitality_index_pca,age60_resident_share,main control subset or robustness-specific subset,depends on model family,depends on model family,contemporaneous quarterly contract,quarterly robustness sample by specification,robustness summary and comparison figure,outcome definition;sample window;W Moran,robustness_summary.csv;robustness_compare.png,02_Code/04_robustness/02_run_robustness.R
M07,GTWR Main Optional,medium,RQ3,vitality_sub_economic;vitality_sub_social;vitality_sub_temporal;vitality_sub_stability;vitality_index_base,age60_resident_share,GTWR_CONTROL_SET lean uses ln_resident_pop;ln_official_land_price and extended adds transit_accessibility,local spatiotemporal weighting,model-specific local diagnostics,contemporaneous quarterly contract,quarterly sample only and optional execution via RUN_GTWR_MAIN_SIDECAR,latest-quarter local coefficient distribution and GTWR spatiotemporal local condition-number diagnostic,fixed adaptive st_bw=480 main bandwidth;bw.gtwr full-panel or anchor-quarter only as explicit sensitivity diagnostic;latest main surface;latest-quarter coverage QC;delta appendix diagnostic;GTWR local collinearity diagnostic;lamda sensitivity optional grid;fixed bandwidth sensitivity optional grid 240/360/480/600/720;control_set lean or extended;spec-level parallel resume cache,gtwr_main_models_<control_set>.csv;gtwr_local_beta_panel_<control_set>.csv;gtwr_local_coefficients_<control_set>.csv;gtwr_controls_used_<control_set>.csv;gtwr_main_frozen_spec_<control_set>.csv;gtwr_latest_summary_table_<control_set>.csv;gtwr_latest_rankings_table_<control_set>.csv;gtwr_delta_summary_table_<control_set>.csv;gtwr_delta_rankings_table_<control_set>.csv;gtwr_lamda_sensitivity_<control_set>.csv;gtwr_bandwidth_sensitivity_<control_set>.csv;gtwr_spec_cache/<control_set>/main/*.rds;gtwr_bandwidth_cache/<control_set>/main/*.rds only when automatic bandwidth search is enabled;gtwr_lamda_sensitivity_cache/<control_set>/main/*.rds;gtwr_bandwidth_sensitivity_cache/<control_set>/main/*.rds,02_Code/80_optional/gtwr/01_run_gtwr_main.R
M07A,GTWR Floating Appendix,low,RQ3 appendix,vitality_sub_economic;vitality_sub_social;vitality_sub_temporal;vitality_sub_stability;vitality_index_base,age60_floating_share,configured GTWR_CONTROL_SET control pool,local spatiotemporal weighting,model-specific local diagnostics,contemporaneous quarterly contract,opt-in actual GTWR via RUN_GTWR_FLOATING_SIDECAR with control-set-specific cache,floating-only local coefficient distribution and frozen control trace,control_set choice;spec-level resume cache,gtwr_floating_models_<control_set>.csv;gtwr_floating_local_beta_panel_<control_set>.csv;gtwr_floating_local_coefficients_<control_set>.csv;gtwr_floating_controls_used_<control_set>.csv;gtwr_floating_frozen_spec_<control_set>.csv;gtwr_spec_cache/<control_set>/floating/*.rds;gtwr_bandwidth_cache/<control_set>/floating/*.rds,02_Code/80_optional/gtwr/02_run_gtwr_floating_only.R
M07B,GTWR Age Band Appendix,low,RQ3 appendix,vitality_sub_economic;vitality_sub_social;vitality_sub_temporal;vitality_sub_stability;vitality_index_base,age20_resident_share;age30_resident_share;age40_resident_share;age50_resident_share;age20_floating_share;age30_floating_share;age40_floating_share;age50_floating_share,configured GTWR_CONTROL_SET control pool,local spatiotemporal weighting,model-specific local diagnostics,contemporaneous quarterly contract,opt-in actual GTWR via RUN_GTWR_AGE_BAND_SIDECAR with domain and age-band metadata,age-band local coefficient distribution and frozen control trace,domain choice;age band choice;control_set choice;spec-level resume cache,gtwr_age_band_models_<control_set>.csv;gtwr_age_band_local_beta_panel_<control_set>.csv;gtwr_age_band_local_coefficients_<control_set>.csv;gtwr_age_band_controls_used_<control_set>.csv;gtwr_age_band_frozen_spec_<control_set>.csv;gtwr_spec_cache/<control_set>/age_band/*.rds;gtwr_bandwidth_cache/<control_set>/age_band/*.rds,02_Code/80_optional/gtwr/03_run_gtwr_age_band.R
M07C,GTWR Sector Share Appendix,low,RQ3 appendix,vitality_sub_economic;vitality_sub_social;vitality_sub_temporal;vitality_sub_stability;vitality_index_base,age60_resident_share;age60_floating_share,configured GTWR_CONTROL_SET control pool,local spatiotemporal weighting,model-specific local diagnostics,contemporaneous quarterly contract,opt-in actual GTWR via RUN_GTWR_SECTOR_SHARE_SIDECAR across resident and floating sector-share exposure families,sector-share local coefficient distribution and frozen control trace,exposure family choice;control_set choice;spec-level resume cache,gtwr_sector_share_models_<control_set>.csv;gtwr_sector_share_local_beta_panel_<control_set>.csv;gtwr_sector_share_local_coefficients_<control_set>.csv;gtwr_sector_share_controls_used_<control_set>.csv;gtwr_sector_share_frozen_spec_<control_set>.csv;gtwr_spec_cache/<control_set>/sector_share/*.rds;gtwr_bandwidth_cache/<control_set>/sector_share/*.rds,02_Code/80_optional/gtwr/04_run_gtwr_sector_share.R
M07D,GWR Delta Appendix,low,RQ3 appendix,vitality_sub_economic;vitality_sub_social;vitality_sub_temporal;vitality_sub_stability;vitality_index_base,age60_resident_share;age60_floating_share,lean quarterly delta control subset,local spatial weighting within fixed comparison windows,model-specific local diagnostics,contemporaneous quarterly contract,manual quarterly appendix using 2019Q1-2021Q4 versus 2023Q1-2025Q4,windowed local delta summary and control trace,comparison window choice and floating appendix inclusion,gwr_delta_main_models.csv;gwr_delta_local_coefficients.csv;gwr_delta_floating_models.csv;gwr_delta_floating_local_coefficients.csv;gwr_delta_controls_used.csv,02_Code/80_optional/gtwr/05_run_gwr_delta.R
M07X,GTWR Experiment Appendix,low,RQ3 appendix,vitality_sub_economic;vitality_sub_social;vitality_sub_temporal;vitality_sub_stability;vitality_index_base,age60_resident_share,experiment-specific required and optional local control pools,local spatiotemporal weighting,model-specific local diagnostics,contemporaneous quarterly contract,manual quarterly appendix over bandwidth and control-strategy grid,experiment registry ranked candidates and frozen control trace,bandwidth strategy;control strategy;control_set choice,gtwr_experiment_main_models_<control_set>.csv;gtwr_experiment_local_beta_panel_<control_set>.csv;gtwr_experiment_local_coefficients_<control_set>.csv;gtwr_experiment_controls_used_<control_set>.csv;gtwr_experiment_controls_used_state_<control_set>.csv;gtwr_experiment_registry_<control_set>.csv;gtwr_experiment_ranked_candidates_<control_set>.csv,02_Code/80_optional/gtwr/06_run_gtwr_experiment.R
M08,Reporting Builder,high,reporting,descriptive and canonical model summaries,none,none,not applicable,not applicable,not applicable,reads completed upstream outputs only,output completeness and horizon alignment,optional appendix source presence handling,descriptive_statistics.csv;main_variable_correlation_matrix.csv;main_variable_correlation_pairs.csv;main_variable_correlation_n_matrix.csv;data_coverage.csv;spatial_family_main_table.csv;gtwr_latest_summary_table_<control_set>.csv;gtwr_latest_rankings_table_<control_set>.csv;gtwr_delta_summary_table_<control_set>.csv;gtwr_delta_rankings_table_<control_set>.csv,02_Code/05_reporting/01_make_tables_figures.R
M08A,Presentation Builder,low,reporting,presentation-ready canonical summaries,none,none,not applicable,not applicable,not applicable,reads completed upstream outputs only,presentation manifest coverage,optional appendix source presence handling,presentation_*.csv;presentation_*.png;presentation_manifest.csv,02_Code/05_reporting/02_build_presentation_artifacts.R
M08B,GTWR Level Artifact Builder,low,reporting,quarterly GTWR local-beta level artifacts,none,none,not applicable,not applicable,not applicable,reads existing GTWR local-beta outputs only,quarterly horizon and output manifest coverage,current selected GTWR_CONTROL_SET source selection,gtwr_level_*.csv;gtwr_level_*.png,02_Code/05_reporting/03_build_gtwr_level_artifacts.R
